pageId,priority,launchBlocking,category,title,workType,sourceLocale,sourcePath,referencePaths,targetPathCandidate,targetPathStatus,copyDigest,implementationDigest,requiresLinguisticReview,requiresSeoReview,requiresRegulatoryClaimsReview,requiresLegalReview,requiresCommercialReview,externalContentDependency,notes
de-medical-disclaimer,P0,true,legal-regulatory,Medical disclaimer,legal-market-adaptation,en-US,/legal/medical-disclaimer,/no/juridisk/medisinsk-ansvarsfraskrivelse,/de/rechtliches/medizinischer-hinweis,candidate-not-frozen-until-de-wave-2,c2dfabfa716f9327318139170ea88e90781af3291fc51da44921fa7d6f17fc1d,c2dfabfa716f9327318139170ea88e90781af3291fc51da44921fa7d6f17fc1d,true,true,true,true,false,,Do not publish as a literal translation; adapt to the German market and obtain legal review.
de-regulatory-information,P0,true,legal-regulatory,Regulatory information,legal-market-adaptation,en-US,/legal/regulatory,/no/juridisk/regulatorisk,/de/rechtliches/regulatorische-informationen,candidate-not-frozen-until-de-wave-2,83d53381566a8af93f694fab441531677aa4967fffdb26094d17269e6a8a7d70,83d53381566a8af93f694fab441531677aa4967fffdb26094d17269e6a8a7d70,true,true,true,true,false,,Do not publish as a literal translation; adapt to the German market and obtain legal review.
de-ce-compliance,P0,true,legal-regulatory,CE compliance,legal-market-adaptation,en-US,/legal/ce-compliance,/no/juridisk/ce-samsvar,/de/rechtliches/ce-konformitaet,candidate-not-frozen-until-de-wave-2,b947c1f74685b05124241ef2bcb6513f39be9c4797bccdb108dfdb469ef5661a,b947c1f74685b05124241ef2bcb6513f39be9c4797bccdb108dfdb469ef5661a,true,true,true,true,false,,Do not publish as a literal translation; adapt to the German market and obtain legal review.
de-trust-safety,P0,true,legal-regulatory,Trust and safety,legal-market-adaptation,en-US,/legal/trust-safety,/no/juridisk/tillit-og-sikkerhet,/de/rechtliches/vertrauen-und-sicherheit,candidate-not-frozen-until-de-wave-2,fe72f237be23e62a4e2c5c5561de7913e308a55fd01ba48d13c7c5e965de7aec,fe72f237be23e62a4e2c5c5561de7913e308a55fd01ba48d13c7c5e965de7aec,true,true,true,true,false,,Do not publish as a literal translation; adapt to the German market and obtain legal review.
de-privacy,P0,true,legal-regulatory,Privacy policy,legal-market-adaptation,en-US,/legal/privacy-policy,/no/juridisk/personvern,/de/rechtliches/datenschutz,candidate-not-frozen-until-de-wave-2,df5ce6e99d22cd4fbcccce8a0dd5d351d26498b22c1a981b2c724c8653628f20,df5ce6e99d22cd4fbcccce8a0dd5d351d26498b22c1a981b2c724c8653628f20,true,true,false,true,false,,Do not publish as a literal translation; adapt to the German market and obtain legal review.
de-terms,P0,true,legal-regulatory,Terms of service / German terms,legal-market-adaptation,en-US,/legal/terms-of-service,/no/juridisk/vilkar,/de/rechtliches/agb,candidate-not-frozen-until-de-wave-2,e6fe2a8bd4b69ec4acabe16ea809dc7d6d723e039c22c187b5ccab08594f38fa,e6fe2a8bd4b69ec4acabe16ea809dc7d6d723e039c22c187b5ccab08594f38fa,true,true,false,true,false,,Do not publish as a literal translation; adapt to the German market and obtain legal review.
de-imprint,P0,true,legal-commerce,German imprint,de-native-authoring,de-native,,,/de/impressum,candidate-not-frozen-until-de-wave-2,,,true,true,false,true,true,,New German-market page with no complete current English/Norwegian source page.
de-shipping-delivery,P0,true,legal-commerce,Shipping and delivery,de-native-authoring,de-native,,,/de/versand-und-lieferung,candidate-not-frozen-until-de-wave-2,,,true,true,false,true,true,,New German-market page with no complete current English/Norwegian source page.
de-withdrawal-returns,P0,true,legal-commerce,"Withdrawal, returns and refunds",de-native-authoring,de-native,,,/de/widerruf-und-rueckgabe,candidate-not-frozen-until-de-wave-2,,,true,true,false,true,true,,New German-market page with no complete current English/Norwegian source page.
de-warranty-complaints,P0,true,legal-commerce,Warranty and complaints,de-native-authoring,de-native,,,/de/gewaehrleistung-und-reklamation,candidate-not-frozen-until-de-wave-2,,,true,true,false,true,true,,New German-market page with no complete current English/Norwegian source page.
de-learn-hub,P1,true,knowledge,German knowledge hub,translate-seo-adapt,en-US,/learn,/no/kunnskap,/de/wissen,candidate-not-frozen-until-de-wave-2,ee0c9bcc26fd39647d3aa51916e2aa589e242c8a05fbfd05f5cd63bb974bd1e7,8ada5bd38b31a8beb108580b8711998694d257c0fd9e6f1960b50b38fecc66af,true,true,true,false,false,,
de-vagus-nerve,P1,true,knowledge,Vagus nerve,translate-seo-adapt,en-US,/learn/vagus-nerve,/no/kunnskap/vagusnerven,/de/wissen/vagusnerv,candidate-not-frozen-until-de-wave-2,1af646b951917c79b70dfd1d4be2ac3d3b55fcffbb7f19475e5e21392f3de709,1af646b951917c79b70dfd1d4be2ac3d3b55fcffbb7f19475e5e21392f3de709,true,true,true,false,false,,
de-vagus-nerve-stimulation,P1,true,knowledge,Vagus nerve stimulation,translate-seo-adapt,en-US,/learn/vagus-nerve-stimulation,/no/kunnskap/vagusnervestimulering,/de/wissen/vagusnervstimulation,candidate-not-frozen-until-de-wave-2,0490adf6cc57e4701de292362d27109decf186f0869fa16d4a6d624dd0e177c0,0490adf6cc57e4701de292362d27109decf186f0869fa16d4a6d624dd0e177c0,true,true,true,false,false,,
de-non-invasive-vns,P1,true,knowledge,Non-invasive vagus nerve stimulation,translate-seo-adapt,en-US,/learn/non-invasive-vagus-nerve-stimulation,/no/kunnskap/ikke-invasiv-vagusnervestimulering,/de/wissen/nicht-invasive-vagusnervstimulation,candidate-not-frozen-until-de-wave-2,08d945254353bcc343d9a4c4a9734acc526c06159c57d0d0dcb9ee7785c136ad,08d945254353bcc343d9a4c4a9734acc526c06159c57d0d0dcb9ee7785c136ad,true,true,true,false,false,,
de-transcutaneous-vns,P1,true,knowledge,Transcutaneous vagus nerve stimulation,translate-seo-adapt,en-US,/learn/transcutaneous-vagus-nerve-stimulation,/no/kunnskap/transkutan-vagusnervestimulering,/de/wissen/transkutane-vagusnervstimulation,candidate-not-frozen-until-de-wave-2,1ef0532ef0d82ed5099b8721e6caf1fc3583b889b6c59e4a2fd54ad8c4025f9c,1ef0532ef0d82ed5099b8721e6caf1fc3583b889b6c59e4a2fd54ad8c4025f9c,true,true,true,false,false,,
de-auricular-vns,P1,true,knowledge,Auricular vagus nerve stimulation,translate-seo-adapt,en-US,/learn/auricular-vagus-nerve-stimulation,/no/kunnskap/aurikulaer-vagusnervestimulering,/de/wissen/aurikulaere-vagusnervstimulation,candidate-not-frozen-until-de-wave-2,1b6cf9030fc7a71c1cf0d5b354ad0d9f3b14ce9d83446a3e952a77696230739f,1b6cf9030fc7a71c1cf0d5b354ad0d9f3b14ce9d83446a3e952a77696230739f,true,true,true,false,false,,
de-ear-vs-neck-vns,P1,true,decision-guide,Ear-based vs neck-based VNS,translate-seo-adapt,en-US,/learn/ear-vs-neck-vagus-nerve-stimulation,/no/kunnskap/orebasert-vs-halsbasert-vns,/de/wissen/vagusnervstimulation-ohr-oder-hals,candidate-not-frozen-until-de-wave-2,ffb142671d83dcf085e5f90e7dd6499e8476b9915128191b30f77152ce4b1558,77eb40f05cec673c7d51e478ce38a39808a34c716e988b04c6d348c1d7a02584,true,true,true,false,false,,
de-choose-vns-device,P1,true,decision-guide,How to choose a VNS device,translate-seo-adapt,en-US,/learn/how-to-choose-a-vagus-nerve-stimulation-device,/no/kunnskap/hvordan-velge-vagusnervestimulator,/de/wissen/vagusnervstimulator-auswaehlen,candidate-not-frozen-until-de-wave-2,7afd366946540a2ee3214f66bef82392d3c23cf885cf2a9502421116b4099242,a99053b9c334222f933fb2a0bc766cc9367dac9a55e2ddd5531d021e6240ad35,true,true,true,false,false,,
de-ear-anatomy-vagus,P1,true,knowledge-safety,Ear anatomy and the vagus nerve,translate-seo-adapt,nb-NO,/no/kunnskap/orets-anatomi-og-vagusnerven,,/de/wissen/ohranatomie-und-vagusnerv,candidate-not-frozen-until-de-wave-2,dfe8a40b56aae229ff6b37aa98e4e2210c6d13800c6d7c08ebc82052b4e4649b,2aed2a540ae098e6a89a42551d5a74d1ee490efbdd53412bf603b6eabb22d9aa,true,true,true,false,false,,Norwegian is the current editorial source because no distinct English counterpart exists.
de-implanted-vs-non-invasive-vns,P1,true,knowledge-safety,Implanted and non-invasive VNS,translate-seo-adapt,nb-NO,/no/kunnskap/implantert-og-ikke-invasiv-vns,,/de/wissen/implantierte-und-nicht-invasive-vagusnervstimulation,candidate-not-frozen-until-de-wave-2,1861bbe88f2acadc8cd3a37a7e49259305e6fc39b06403eeedac2a2f1ea30b93,2aed2a540ae098e6a89a42551d5a74d1ee490efbdd53412bf603b6eabb22d9aa,true,true,true,false,false,,Norwegian is the current editorial source because no distinct English counterpart exists.
de-is-vns-safe,P1,true,knowledge-safety,Is vagus nerve stimulation safe?,translate-seo-adapt,nb-NO,/no/kunnskap/er-vagusnervestimulering-trygt,,/de/wissen/ist-vagusnervstimulation-sicher,candidate-not-frozen-until-de-wave-2,521e87b9b1b10f3ce409793fedf555733939ecf465684bda0934e1ec4d3d5d41,2aed2a540ae098e6a89a42551d5a74d1ee490efbdd53412bf603b6eabb22d9aa,true,true,true,false,false,,Norwegian is the current editorial source because no distinct English counterpart exists.
de-non-invasive-vns-side-effects,P1,true,knowledge-safety,Side effects of non-invasive VNS,translate-seo-adapt,nb-NO,/no/kunnskap/bivirkninger-ved-ikke-invasiv-vagusnervestimulering,,/de/wissen/nebenwirkungen-nicht-invasive-vagusnervstimulation,candidate-not-frozen-until-de-wave-2,e584a0b8172515e9079a550582d7f78352a9b1e2c67f11b93b664781ff68e3b8,2aed2a540ae098e6a89a42551d5a74d1ee490efbdd53412bf603b6eabb22d9aa,true,true,true,false,false,,Norwegian is the current editorial source because no distinct English counterpart exists.
de-vns-caution,P1,true,knowledge-safety,Who should be cautious with VNS?,translate-seo-adapt,nb-NO,/no/kunnskap/hvem-bor-vaere-forsiktig-med-vagusnervestimulering,,/de/wissen/wer-sollte-bei-vagusnervstimulation-vorsichtig-sein,candidate-not-frozen-until-de-wave-2,17158c692c5e0f8f5c83b25fa17bc309486cde45ea9caffafa7b6f345d89d680,2aed2a540ae098e6a89a42551d5a74d1ee490efbdd53412bf603b6eabb22d9aa,true,true,true,false,false,,Norwegian is the current editorial source because no distinct English counterpart exists.
de-research-hub,P1,true,research,German research hub,translate-seo-adapt,en-US,/research,/no/forskning,/de/forschung,candidate-not-frozen-until-de-wave-2,3c8a9be966decfea369bdbb0363997b1ee20d28665e9fa895252ddf5c4ef0fe3,a0e5720d296dc53c0bf4aacbdce4ccb01e6bd1b3e37aefebee0c52af985f77a0,true,true,true,false,false,,
de-research-topics-hub,P1,true,research,German research topics hub,translate-seo-adapt,en-US,/research/topics,,/de/forschung/themen,candidate-not-frozen-until-de-wave-2,1709fa2c0b10dbe321e79da1acf6ea5366555dd827f893ddee03db54e271a053,1709fa2c0b10dbe321e79da1acf6ea5366555dd827f893ddee03db54e271a053,true,true,true,false,false,,
de-research-vns,P1,true,research,VNS research topic,translate-seo-adapt,en-US,/research/topics/vagus-nerve-stimulation,/no/forskning/vagusnervestimulering,/de/forschung/themen/vagusnervstimulation,candidate-not-frozen-until-de-wave-2,7b449fce38fa78dd47dbb3f7312d03f81edf21c54ae9e2021a671d73b624aaec,7b449fce38fa78dd47dbb3f7312d03f81edf21c54ae9e2021a671d73b624aaec,true,true,true,false,false,,
de-research-tvns,P1,true,research,tVNS research topic,translate-seo-adapt,en-US,/research/topics/transcutaneous-vagus-nerve-stimulation,/no/forskning/transkutan-vagusnervestimulering,/de/forschung/themen/transkutane-vagusnervstimulation,candidate-not-frozen-until-de-wave-2,dc6cd5156f7ba01c1692b845abaef31e865396c543c2836d931623b819b5279e,dc6cd5156f7ba01c1692b845abaef31e865396c543c2836d931623b819b5279e,true,true,true,false,false,,
de-research-auricular-vns,P1,true,research,Auricular VNS research topic,translate-seo-adapt,en-US,/research/topics/auricular-vagus-nerve-stimulation,/no/forskning/aurikulaer-vagusnervestimulering,/de/forschung/themen/aurikulaere-vagusnervstimulation,candidate-not-frozen-until-de-wave-2,c9f718189eef95032d27cba80fd3959aad51e362c8a3a7cd231fedc1bd8da39c,c9f718189eef95032d27cba80fd3959aad51e362c8a3a7cd231fedc1bd8da39c,true,true,true,false,false,,
de-research-safety,P1,true,research,Safety and tolerability research,translate-seo-adapt,en-US,/research/topics/safety-and-tolerability,/no/forskning/sikkerhet-og-tolerabilitet,/de/forschung/themen/sicherheit-und-vertraeglichkeit,candidate-not-frozen-until-de-wave-2,0c8ef97c75cab84ee352f18ce8460edd50fe79bdae0f1b9bd7b1faac7ff9ce0c,0c8ef97c75cab84ee352f18ce8460edd50fe79bdae0f1b9bd7b1faac7ff9ce0c,true,true,true,false,false,,
de-study-frangos-2015,P1,true,research-study,Frangos 2015 taVNS fMRI study,translate-seo-adapt,en-US,/research/studies/frangos-2015-auricular-vagus-nerve-stimulation-fmri,,/de/forschung/studien/frangos-2015-aurikulaere-vagusnervstimulation-fmri,candidate-not-frozen-until-de-wave-2,a52f012b9dc444fefb8b60ad5b7994393cce7996fc8db49306495ea3c36a3ba5,ee0e2519fdc2d507546b53a796be9bfb1fbabdfad73673441097d142d82e530a,true,true,true,false,false,,Wave 5 should replace the whole-catalog file hash with an entry-level copy hash.
de-glossary-hub,P1,true,glossary,German glossary hub,translate-seo-adapt,en-US,/glossary,/no/ordliste,/de/glossar,candidate-not-frozen-until-de-wave-2,c3770d3ccab3ea5ef97b250c15833e448513e017ff78eaf5bf26e04a59b12b28,11d7b2441ee1949ca2a736c9ecde046b8a2abdf58867c05fe16fc61b042727c0,true,true,true,false,false,,German glossary locale support requires extending the current en/no-only types and registry.
de-glossary-vagus-nerve,P1,true,glossary,Vagus nerve glossary term,translate-seo-adapt,en-US,/glossary/vagus-nerve,/no/ordliste/vagusnerven,/de/glossar/vagusnerv,candidate-not-frozen-until-de-wave-2,2858a2be89ffa8547fae638ae0155bbbc8ef7681c1e6bd0fd331fa5a0bffb485,3f1754cc7a4f025c8d0ab121d9e5982d5fb608543f1f73b98c71c70c69e060a3,true,true,true,false,false,,Copy digest is entry-specific and will not change when unrelated glossary terms are added.
de-glossary-vns,P1,true,glossary,Vagus nerve stimulation glossary term,translate-seo-adapt,en-US,/glossary/vagus-nerve-stimulation,/no/ordliste/vagusnervestimulering,/de/glossar/vagusnervstimulation,candidate-not-frozen-until-de-wave-2,c264814c9c44e1472eeb73b319af2f58e192e02b317c96cf45129d1e7f0bfcb7,3f1754cc7a4f025c8d0ab121d9e5982d5fb608543f1f73b98c71c70c69e060a3,true,true,true,false,false,,Copy digest is entry-specific and will not change when unrelated glossary terms are added.
de-glossary-non-invasive-vns,P1,true,glossary,Non-invasive VNS glossary term,translate-seo-adapt,en-US,/glossary/non-invasive-vagus-nerve-stimulation,/no/ordliste/ikke-invasiv-vagusnervestimulering,/de/glossar/nicht-invasive-vagusnervstimulation,candidate-not-frozen-until-de-wave-2,c888d02948e7757c613db404e26a3c8027580e8ba4aa80527a105f51cd0bbc76,3f1754cc7a4f025c8d0ab121d9e5982d5fb608543f1f73b98c71c70c69e060a3,true,true,true,false,false,,Copy digest is entry-specific and will not change when unrelated glossary terms are added.
de-glossary-tavns,P1,true,glossary,Transcutaneous auricular VNS glossary term,translate-seo-adapt,en-US,/glossary/transcutaneous-auricular-vagus-nerve-stimulation,/no/ordliste/transkutan-aurikulaer-vagusnervestimulering,/de/glossar/transkutane-aurikulaere-vagusnervstimulation,candidate-not-frozen-until-de-wave-2,52c791c9c4969fda9acbea3d31828e1fe5488c419eedb4b420b33f53b574d34e,3f1754cc7a4f025c8d0ab121d9e5982d5fb608543f1f73b98c71c70c69e060a3,true,true,true,false,false,,Copy digest is entry-specific and will not change when unrelated glossary terms are added.
