route,locale,routeKind,section,indexability,sourceFile,originalPriority,finalDisposition,conceptId,conceptRole,reason
/no/juridisk/tiltenkt-bruk,nb-NO,build-exact,legal-regulatory,indexable-candidate,src/app/(no)/no/juridisk/tiltenkt-bruk/page.tsx,P0,P0_REFERENCE,de-intended-use,reference,Reference route for locked P0 concept de-intended-use
/no/juridisk/vilkar,nb-NO,build-exact,legal-regulatory,indexable-candidate,src/app/(no)/no/juridisk/vilkar/page.tsx,P0,P0_REFERENCE,de-terms,reference,Reference route for locked P0 concept de-terms
/no/kunnskap,nb-NO,build-exact,knowledge,indexable-candidate,src/app/(no)/no/kunnskap/page.tsx,P1,P1_REFERENCE,de-learn-hub,reference,Reference route for locked P1 concept de-learn-hub
/no/kunnskap/[slug],nb-NO,source-dynamic-pattern,knowledge,indexable-candidate,src/app/(no)/no/kunnskap/[slug]/page.tsx,P2,TEMPLATE_INFRASTRUCTURE,,,Dynamic route template; exact generated pages are classified separately
/no/kunnskap/aurikulaer-vagusnervestimulering,nb-NO,build-exact,knowledge,indexable-candidate,src/app/(no)/no/kunnskap/[slug]/page.tsx,P1,P1_REFERENCE,de-auricular-vns,reference,Reference route for locked P1 concept de-auricular-vns
/no/kunnskap/bivirkninger-ved-ikke-invasiv-vagusnervestimulering,nb-NO,build-exact,knowledge,indexable-candidate,src/app/(no)/no/kunnskap/[slug]/page.tsx,P1,P1_SOURCE,de-non-invasive-vns-side-effects,source,Source route for locked P1 concept de-non-invasive-vns-side-effects
/no/kunnskap/det-autonome-nervesystemet,nb-NO,build-exact,knowledge,indexable-candidate,src/app/(no)/no/kunnskap/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/no/kunnskap/det-parasympatiske-nervesystemet,nb-NO,build-exact,knowledge,indexable-candidate,src/app/(no)/no/kunnskap/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/no/kunnskap/er-vagusnervestimulering-trygt,nb-NO,build-exact,knowledge,indexable-candidate,src/app/(no)/no/kunnskap/[slug]/page.tsx,P1,P1_SOURCE,de-is-vns-safe,source,Source route for locked P1 concept de-is-vns-safe
/no/kunnskap/hrv-og-vagusnerven,nb-NO,build-exact,knowledge,indexable-candidate,src/app/(no)/no/kunnskap/[slug]/page.tsx,P1,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/no/kunnskap/hvem-bor-vaere-forsiktig-med-vagusnervestimulering,nb-NO,build-exact,knowledge,indexable-candidate,src/app/(no)/no/kunnskap/[slug]/page.tsx,P1,P1_SOURCE,de-vns-caution,source,Source route for locked P1 concept de-vns-caution
/no/kunnskap/hvordan-roe-ned-nervesystemet,nb-NO,build-exact,knowledge,indexable-candidate,src/app/(no)/no/kunnskap/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/no/kunnskap/hvordan-velge-vagusnervestimulator,nb-NO,build-exact,knowledge,indexable-candidate,src/app/(no)/no/kunnskap/hvordan-velge-vagusnervestimulator/page.tsx,P2,P1_REFERENCE,de-choose-vns-device,reference,Reference route for locked P1 concept de-choose-vns-device
/no/kunnskap/ikke-invasiv-vagusnervestimulering,nb-NO,build-exact,knowledge,indexable-candidate,src/app/(no)/no/kunnskap/[slug]/page.tsx,P1,P1_REFERENCE,de-non-invasive-vns,reference,Reference route for locked P1 concept de-non-invasive-vns
/no/kunnskap/implantert-og-ikke-invasiv-vns,nb-NO,build-exact,knowledge,indexable-candidate,src/app/(no)/no/kunnskap/[slug]/page.tsx,P1,P1_SOURCE,de-implanted-vs-non-invasive-vns,source,Source route for locked P1 concept de-implanted-vs-non-invasive-vns
/no/kunnskap/orebasert-vs-halsbasert-vns,nb-NO,build-exact,knowledge,indexable-candidate,src/app/(no)/no/kunnskap/orebasert-vs-halsbasert-vns/page.tsx,P2,P1_REFERENCE,de-ear-vs-neck-vns,reference,Reference route for locked P1 concept de-ear-vs-neck-vns
/no/kunnskap/orets-anatomi-og-vagusnerven,nb-NO,build-exact,knowledge,indexable-candidate,src/app/(no)/no/kunnskap/[slug]/page.tsx,P1,P1_SOURCE,de-ear-anatomy-vagus,source,Source route for locked P1 concept de-ear-anatomy-vagus
/no/kunnskap/regulering-av-nervesystemet,nb-NO,build-exact,knowledge,indexable-candidate,src/app/(no)/no/kunnskap/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/no/kunnskap/transkutan-vagusnervestimulering,nb-NO,build-exact,knowledge,indexable-candidate,src/app/(no)/no/kunnskap/[slug]/page.tsx,P1,P1_REFERENCE,de-transcutaneous-vns,reference,Reference route for locked P1 concept de-transcutaneous-vns
